InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
555200,71459,HANGING JAM JAR T-LIGHT HOLDER,24,2011-06-01 12:05:00,0.85,17315.0,United Kingdom
554974,21128,GOLD FISHING GNOME,4,2011-05-27 17:14:00,6.95,14031.0,United Kingdom
550972,21086,SET/6 RED SPOTTY PAPER CUPS,4,2011-04-21 17:05:00,0.65,14031.0,United Kingdom
576652,22812,PACK 3 BOXES CHRISTMAS PANETTONE,3,2011-11-16 10:39:00,1.95,17198.0,United Kingdom
546157,22180,RETROSPOT LAMP,2,2011-03-10 08:40:00,9.95,13502.0,United Kingdom
576200,82482,WOODEN PICTURE FRAME WHITE FINISH,2,2011-11-14 12:14:00,2.95,15572.0,United Kingdom
577076,22614,PACK OF 12 SPACEBOY TISSUES,12,2011-11-17 15:08:00,0.39,14362.0,United Kingdom
568909,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2011-09-29 13:38:00,1.25,16818.0,United Kingdom
578072,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,2011-11-22 16:02:00,6.75,17759.0,United Kingdom
560491,23297,SET 40 HEART SHAPE PETIT FOUR CASES,2,2011-07-19 10:51:00,1.65,12415.0,Australia
545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2011-03-07 10:52:00,7.9,15039.0,United Kingdom
573399,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,2011-10-30 15:35:00,0.79,13949.0,United Kingdom
551954,22799,SWEETHEART WIRE FRUIT BOWL,1,2011-05-05 12:13:00,8.5,14515.0,United Kingdom
563745,22115,METAL SIGN EMPIRE TEA,12,2011-08-19 09:38:00,0.79,15159.0,United Kingdom
540418,22161,HEART DECORATION RUSTIC HANGING ,5,2011-01-07 11:04:00,0.81,,United Kingdom
546237,84508A,CAMOUFLAGE DESIGN TEDDY,6,2011-03-10 12:50:00,2.55,16625.0,United Kingdom
548005,21499,BLUE POLKADOT WRAP,25,2011-03-29 10:49:00,0.42,14128.0,United Kingdom
539000,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,2010-12-15 12:27:00,9.95,13092.0,United Kingdom
545715,82600,NO SINGING METAL SIGN,1,2011-03-07 10:13:00,4.13,,United Kingdom
C572489,22465,HANGING METAL STAR LANTERN,-5,2011-10-24 13:59:00,1.65,17119.0,United Kingdom
577820,23169,CLASSIC GLASS COOKIE JAR,18,2011-11-22 09:24:00,3.75,13408.0,United Kingdom
555091,21936,RED RETROSPOT PICNIC BAG,1,2011-05-31 12:50:00,2.95,12748.0,United Kingdom
556106,22669,RED BABY BUNTING ,2,2011-06-08 16:54:00,2.95,14056.0,United Kingdom
537159,22667,RECIPE BOX RETROSPOT ,1,2010-12-05 13:17:00,2.95,14527.0,United Kingdom
565841,22555,PLASTERS IN TIN STRONGMAN,1,2011-09-07 12:04:00,3.29,,United Kingdom
536532,20685,DOORMAT RED RETROSPOT,2,2010-12-01 13:24:00,7.95,12433.0,Norway
572681,23232,WRAP VINTAGE LEAF DESIGN,25,2011-10-25 13:51:00,0.42,13510.0,United Kingdom
548309,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,2011-03-30 12:02:00,0.85,16657.0,United Kingdom
